,Identifiant,Quantite2003,Nom_Etablissement_x,LLX,LLY,Quantite2004,Quantite2005,Quantite2006,Quantite2007,Quantite2008,Quantite2009,Quantite2010,Quantite2011,Quantite2012,Quantite2013,Quantite2014,Quantite2015,Quantite2016,Quantite2017
2427,67.0057,0,Dow France SAS,7.951836757938094,48.76442862585279,8.87,0,0,0,0,0,7.886000000000001,1.35,2.66,4.26,1.886,12.700000000000001,3.56,0
2428,67.00578,0,BERNARD LIENHART,7.6810964093939305,48.335945414936376,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,67.00585,0,Plastic Omnium Auto Inergy Division,7.306740395030045,47.76846180265737,3.048,0,0,0,0,0,75.12,58.31,51.79,36.644,10.728,19.099999999999998,17.119999999999997,39.376
2430,67.00608000000001,0,Mars Chocolat France,7.790885797109675,48.821881199478675,1.56,0,0,0,0,18.471999999999998,14.084,16.64,21.315,22.283,33.094,32.15,23.234,35.83
2431,67.00609,0,Flex N Gate,7.1491923650139855,47.72964732941791,385.0,294.0,184.4,0,0,0,0,0,16.744,18.543000000000003,37.91,40.85699999999999,36.879,40.297
2432,67.00618,0,J. WALLACH,7.382915589958895,47.756623667000696,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,67.00625,0,LAVAEST,7.886059572598636,48.69462462692182,355.0,345.33000000000004,0,0,0,0,0,0,0,0,0,0,0,0
2434,67.00632,0,Brasserie KRONENBOURG,7.480851084968622,48.46250259562348,24.508000000000003,24.240000000000002,11.698,19.284999999999997,20.584999999999997,17.575,13.113000000000001,10.156,15.421999999999999,17.65,25.338000000000005,25.970000000000006,100.38600000000001,35.385000000000005
2435,67.00633,0,MARS PF France,7.564193539320566,48.564253886223206,2.871,0,0,0,3.7829999999999995,7.813,4.058,3.4989999999999997,6.198,2.5200000000000005,9.267,30.979,19.764,11.972999999999999
2436,67.00638000000001,0,TSM,7.281258358574435,47.77885552139313,84.4,0,0,0,178.0,130.8,142.1,115.4,110.3,120.5,76.5,76.7,61.14999999999999,72.46000000000001
2437,67.00641999999999,0,ESSITY OPERATIONS France,7.534427320580675,48.07875946064001,12.899999999999999,0,0,19.085,13.78,1159.471,14.655,307.4519999999999,467.1819999999999,20.555,14.5384,29.274,34.425000000000004,28.726
2438,67.00653,0,CRISTAL France SAS,7.10279473997415,47.809486594659596,11.949,84.535,233.13300000000004,46.5,80.057,703.9130000000001,128.99,90.588,126.068,115.847,178.55800000000002,225.396,273.12199999999996,88.01520000000001
2439,67.00657,0,Ennoblissement Technique de Cernay,7.17633216488648,47.80932137749268,0.08800000000000001,0,0,0,0,0,2.2,0,0,2250.0,1.35,1.5170000000000001,15.125,3.5999999999999996
2440,67.00661,0,SURFINSER,7.30111664558667,47.83390915755458,54.78,111.094,42.95,0,0,16.3,0,0,11.4,0,0,0,0,0
2441,67.00662,0,SUPRA,7.480851084968622,48.46250259562348,118.398,149.0,351.2,340.051,247.37099999999998,268.09499999999997,184.41500000000002,148.31100000000004,80.11900000000001,184.749,194.85699999999997,219.304,114.966,36.072
2442,67.00673,0,Station d'épuration des eaux usées de l'Eurométropole de Strasbourg,7.753999333953012,48.57549782243622,3120.0,6040.0,2754.0,426.0,360.0,338.0,345.0,349.0,336.0,339.9,305.9,307.9,153.43,362.5
2443,67.00678,0,RHODIA OPERATIONS,7.3450635541406015,47.74175719546459,7161.7300000000005,6077.4,2853.5699999999997,2001.3200000000002,279.52,54.952000000000005,0,0,0,0,0,45.42999999999999,141.25,158.865
2444,67.0068,0,FLABEG France SAS,7.085619677654728,48.93952748586372,48.06,43.44799999999999,12.005,0,0,12.350999999999999,18.098,11.784,0,12.882,13.98,18.233999999999998,18.429000000000002,16.162
2445,67.00681,0,GALVA HILD,7.475467334111829,48.12042525910627,503.0,304.16999999999996,434.74,355.18,508.2,412.9,322.435,430.055,401.91999999999996,396.958,401.275,329.6,253.1,173.1
2446,67.00688000000001,0,HEINEKEN SCHILTIGHEIM,7.748316146562289,48.60522273832918,10.656,16.179,0,17.43,27.856999999999996,9.399,23.68,31.002000000000002,28.037999999999993,27.089999999999996,44.076,26.090999999999998,23.1,33.575
2447,67.00690999999999,0,HAGER ELECTRO,7.480851084968622,48.46250259562348,54.278999999999996,79.56899999999999,78.98100000000002,67.38699999999999,62.467000000000006,67.78400000000002,66.5555,51.384,61.37099999999999,42.962999999999994,69.47999999999999,63.765,57.488,62.51800000000001
2448,67.00695999999999,0,GUNTHER Tools,7.88357725491327,48.93715883986916,228.0,301.308,372.233,332.25100000000003,239.172,136.42,364.86,262.903,397.4,211.92000000000002,103.884,195.06,162.62,156.94000000000003
2449,67.00718,0,EMERSON PROCESS MANAGEMENT (anc. FISHER ROSEMOUNT),7.17633216488648,47.80932137749268,49.23,0,65.6,28.6,51.132999999999996,37.81100000000001,83.38499999999998,73.529,161.97000000000003,109.16399999999999,120.82900000000001,111.76200000000001,93.15799999999999,120.05900000000001
2450,67.00724,0,Chaleur Hautepierre,7.753999333953012,48.57549782243622,0.5,10.4,11.787,0,0,2.37,2.14,175.08599999999998,15.6,26.03,3.3209999999999997,0,5.343000000000001,20.904000000000003
2451,67.00745,0,STEIH,7.583133148011623,47.60135402009594,6350.0,4485.0,5260.0,5677.9,4299.0,3541.76,4051.0,3205.42,3072.8,0,0,0,0,0
2452,67.00746,0,Cogeri,7.3450635541406015,47.74175719546459,8.0,0,10.5,11.505,19.75,16.351,26.993000000000002,6.5,6.16,0,22.26,3.616,0,10.6
2453,67.00751,0,TRIOPLAST WITTENHEIM SA,7.337010991842032,47.80914301865108,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,67.00774,0,INTERDECAF,7.753999333953012,48.57549782243622,5.670000000000001,0,0,0,0,11.6,3.5,0,0,0,0,0,0,0
2455,67.00775,0,COSTIL TANNERIES DE FRANCE SAS,7.680139460770919,48.556377161804,6002.06,100.83,0,0,0,0,0,0,0,0,0,0,0,0
2456,67.00780999999999,0,SOPREMA SAS,7.753999333953012,48.57549782243622,27.09,32.77,563.8299999999999,618.74,0,486.65,447.23,562.71,686.544,418.328,364.657,549.4499999999999,869.87,719.31
2457,67.00795,0,Sitek Insulation,7.952193990019591,49.03226407730283,2.68,0,0,0,0,0,0,0,7.780290000000001,15.193,12.382,136.07,29.467600000000004,2.6504000000000003
2458,67.00804000000001,0,EMFI S.A.S,7.628018091988674,48.84553831331168,1122.1200000000001,903.3600000000001,820.24,909.1600000000001,846.4379999999999,579.054,732.2339999999999,545.789,534.5210000000001,481.108,386.55999999999995,421.26199999999994,612.8870000000002,542.9979999999999
2459,67.00805,0,LALIQUE SA,7.374110517312197,48.92035919699967,295.783,163.0,160.0,175.0,147.643,102.658,76.05400000000002,82.765,75.60100000000001,93.34400000000001,105.17800000000003,55.72,1215.1149999999998,80.1
2460,67.00816999999999,0,JUS DE FRUITS D'ALSACE,7.085619677654728,48.93952748586372,3.4899999999999998,0,0,0,4.353,4.781000000000001,7.146000000000001,13.289,5.916500000000002,4.468999999999999,9.598,10.424999999999999,18.501,3.626
2461,67.00823000000001,0,ISRI France (USINE 2),7.827987559348195,48.93882443616648,54.922,69.06400000000001,75.565,79.553,99.65599999999999,104.878,114.279,66.01400000000001,89.694,104.47999999999999,74.95800000000001,98.59300000000002,88.74000000000001,75.313
2462,67.00838,0,LOHR INDUSTRIE,7.5966258214899005,48.52651550910383,483.47999999999996,455.48999999999995,438.55,513.7689999999999,490.85799999999995,162.64000000000004,213.14199999999997,220.38899999999998,29.916,110.10600000000001,80.77399999999999,105.43199999999999,123.315,190.87325000000004
2463,67.00846999999999,0,Bestfoods France Industries,7.5966258214899005,48.52651550910383,25.700000000000003,42.99,71.55400000000002,32.036,24.002000000000002,16.378,23.983000000000004,20.376,10.43,21.299999999999997,33.807,10.458,10.782000000000002,8.924000000000001
2464,67.00855,0,SAPLAST SAS,7.753999333953012,48.57549782243622,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,67.0101,0,Eppe Direct Strasbourg,7.821603660961203,48.66529435291562,59.0,67.9,68.2,0,0,0,0,0,0,0,0,0,0,0
2466,67.01061,0,EUROPOLYMERS,7.753999333953012,48.57549782243622,10.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
2467,67.01216,0,ISTRA,7.748316146562289,48.60522273832918,49590.0,53.114,44.58,0,0,0,0,0,0,0,0,0,0,0
2468,67.01424,0,MILLIPORE,7.487756369302546,48.540995743515545,34.040000000000006,43.699999999999996,61.2,60.09,47.580000000000005,25.352999999999998,33.410000000000004,65.88,38.29,34.81,42.71,35.9,30.43,29.43
2469,67.0148,0,OREST GROUP,7.657210122919933,48.42101842899955,5.61,0,0,0,0,0,0,7.7,8.0,23.631,0,0,17.625999999999998,0
2470,67.01528,0,ALSAPAN,7.489734988938467,48.621113865648475,42.3,0,33.7,43.038000000000004,272.751,146.1,122.44,136.72,15.93,34.510000000000005,36.120000000000005,36.7,0,0
2471,67.01598,0,KNAUF Industries,7.7044604300363115,48.31827066638823,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,67.01724,0,STEELCASE Marlenheim,7.489734988938467,48.621113865648475,2.3,54.1,53.9,91.05,76.21900000000001,12.408999999999999,0,0,0,0,0,0,0,0
2473,67.01888000000001,0,Kemira Chimie SASU Etablissement de Lauterbourg,8.180876856716798,48.97573975138553,141.5,112.80000000000001,177.8,29.0,54.55500000000001,12.463000000000001,21.272,0,22.939999999999998,0,0,0,0,0
2474,67.02036,0,FIBERWEB PGI FRANCE,7.538751818576629,48.04076179289672,698.3,0,0,0,43.98700000000001,24.070000000000004,26.399999999999995,28.3,26.337,22.25,15.399999999999999,0,0,34.660000000000004
2475,67.02046,0,KERMEL,7.364650980019338,48.07056286030809,40.099999999999994,31.0,44.0,53.0,47.0,254.76,65.35,93.062,107.0,108331.0,122.89599999999997,156.0,75.5,113.177
